transaction_id,user_id,timestamp,amount,latitude,longitude,device_id,recipient_id,is_fraud
T000124,U321,2026-05-22T16:51:10.844918,28.57,-22.91553,-43.24715,DEV0596,U294,0
T000125,U438,2026-05-22T17:03:53.494867,71.02,-19.91325,-43.97475,DEV0744,U030,0
T000126,U354,2026-05-22T15:05:56.565872,33.0,-25.3536,-49.25044,DEV0794,M075,0
T000127,U313,2026-05-22T14:05:05.488197,35.28,-15.71025,-47.77484,DEV0410,M007,0
T000128,U056,2026-05-22T17:11:57.975524,223.97,-30.02322,-51.3235,DEV0348,M035,0
T000129,U479,2026-05-22T16:58:01.191708,128.24,-25.36729,-49.26774,DEV0697,M065,0
T000130,U113,2026-05-22T14:34:55.860492,346.75,-23.55023,-46.65709,DEV0302,U261,0
T000131,U430,2026-05-22T14:25:31.709023,79.76,-22.91974,-43.09297,DEV0268,M037,0
T000132,U357,2026-05-22T16:02:51.061973,266.08,-30.03388,-51.20989,DEV0346,M059,0
T000133,U500,2026-05-22T14:23:34.085013,419.91,-12.83975,-38.59168,DEV0490,M053,0
T000134,U435,2026-05-22T14:19:35.787739,406.2,-13.0144,-38.47356,DEV0292,M021,0
T000135,U359,2026-05-22T15:42:12.274632,28.42,-15.76388,-47.9471,DEV0210,M017,0
T000136,U338,2026-05-22T16:07:56.734584,299.89,-23.61198,-46.60847,DEV0145,M028,0
T000137,U101,2026-05-22T17:47:21.735735,7.4,-23.53721,-46.54484,DEV0688,U150,0
T000138,U487,2026-05-22T13:48:45.256434,48.32,-23.51942,-46.65178,DEV0344,U017,0
T000139,U154,2026-05-23T04:47:54.174061,74.63,-22.89404,-43.12061,DEV0474,M075,0
T000140,U216,2026-05-22T14:37:35.748544,35.69,-23.56159,-46.59958,DEV0402,U438,0
T000141,U082,2026-05-22T16:52:40.586534,261.59,-29.97056,-51.19861,DEV0338,M073,0
T000142,U429,2026-05-22T14:59:09.075227,602.78,-23.55726,-46.58312,DEV0287,M061,0
T000143,U208,2026-05-22T16:39:18.858695,569.18,-12.85941,-38.4784,DEV0361,M076,0
T000144,U152,2026-05-22T16:27:14.332902,226.7,-23.55669,-46.65112,DEV0094,M015,0
T000145,U232,2026-05-22T18:47:40.983455,187.7,-15.77107,-47.92194,DEV0065,U191,0
T000146,U265,2026-05-22T17:20:52.103283,11.1,-19.89378,-44.02729,DEV0111,M077,0
T000147,U290,2026-05-22T14:45:29.277695,5.28,-30.01507,-51.17805,DEV0485,M034,0
T000148,U144,2026-05-22T16:00:49.521579,7.05,-12.92233,-38.43961,DEV0641,M034,0
T000149,U392,2026-05-22T14:31:16.785356,7.63,-19.85979,-43.92051,DEV0644,M030,0
T000150,U021,2026-05-22T16:42:44.755177,200.12,-30.06969,-51.18852,DEV0035,U033,0
T000151,U010,2026-05-22T18:43:02.198134,123.92,-23.52923,-46.52236,DEV0475,M053,0
T000152,U022,2026-05-22T16:30:10.385698,23.1,-25.41708,-49.25193,DEV0562,M031,0
T000153,U338,2026-05-22T19:37:16.015414,5000.0,-23.58335,-46.71022,DEV0145,U294,1
T000154,U294,2026-05-22T19:37:26.015414,4950.0,-25.4284,-49.2733,DEV0394,U209,1
T000155,U209,2026-05-22T19:37:36.015414,4900.0,-19.9173,-43.9345,DEV0348,U338,1
T000156,U343,2026-05-22T15:57:47.525130,219.01,-23.52651,-46.64199,DEV0478,M028,0
T000157,U065,2026-05-22T15:53:13.740525,164.86,-15.76972,-47.8762,DEV0386,U308,0
T000158,U177,2026-05-22T14:24:36.033667,200.69,-25.46586,-49.25621,DEV0096,M029,0
T000159,U475,2026-05-22T17:23:53.667190,12.31,-22.92752,-43.20333,DEV0414,U101,0
T000160,U364,2026-05-22T17:15:58.145924,237.77,-15.66804,-47.94971,DEV0051,U402,0
T000161,U304,2026-05-22T16:22:15.828396,705.23,-30.08441,-51.22078,DEV0664,M099,0
T000162,U380,2026-05-22T18:26:47.860030,25.41,-23.01504,-43.10597,DEV0469,U137,0
T000163,U459,2026-05-22T17:10:05.753079,417.32,-22.87439,-43.13511,DEV0016,M009,0
T000164,U263,2026-05-22T13:49:52.692895,94.24,-12.98857,-38.40317,DEV0450,M021,0
T000165,U227,2026-05-22T19:51:52.677609,109.45,-12.95991,-38.42741,DEV0102,M074,1
T000166,U280,2026-05-22T18:19:22.252523,451.06,-23.59345,-46.57353,DEV0008,U373,1
T000167,U378,2026-05-22T16:29:17.344804,269.75,-23.49782,-46.66947,DEV0177,U104,0
T000168,U460,2026-05-22T14:42:51.259633,3.32,-30.00096,-51.18811,DEV0794,M006,0
T000169,U224,2026-05-22T15:27:24.865455,82.82,-25.53648,-49.26052,DEV0041,M016,0
T000170,U373,2026-05-22T15:45:31.541324,460.46,-30.02593,-51.2055,DEV0244,U457,0
T000171,U059,2026-05-22T18:14:48.020264,1.75,-23.58766,-46.67315,DEV0259,M079,0
T000172,U428,2026-05-22T13:21:54.315909,102.54,-12.97036,-38.48986,DEV0342,U028,0
T000173,U017,2026-05-22T15:15:24.071873,57.2,-25.41146,-49.32301,DEV0014,U302,0
T000174,U461,2026-05-22T18:07:58.597338,16.34,-22.82777,-43.22365,DEV0391,M049,0
T000175,U102,2026-05-22T14:05:56.352858,36.69,-19.9008,-43.9035,DEV0470,M005,0
T000176,U361,2026-05-22T16:40:40.799487,56.73,-25.42651,-49.24407,DEV0356,M061,0
T000177,U046,2026-05-22T13:50:16.280071,113.14,-19.92632,-43.86586,DEV0575,M013,0
T000178,U003,2026-05-22T13:51:30.102362,21.9,-30.01221,-51.19915,DEV0122,M070,0
T000179,U068,2026-05-22T22:46:21.907576,80.16,-25.50831,-49.25019,DEV0566,M019,0
T000180,U358,2026-05-22T16:02:36.445845,566.58,-25.40096,-49.30236,DEV0218,U354,0
T000181,U299,2026-05-22T15:14:11.810700,519.14,-22.93887,-43.14851,DEV0320,M096,0
T000182,U094,2026-05-22T15:45:33.507879,88.71,-15.76849,-47.98936,DEV0227,U086,0
T000183,U421,2026-05-22T13:21:50.677561,41.7,-15.84262,-47.89897,DEV0235,M066,0
T000184,U432,2026-05-22T14:05:47.188387,130.35,-23.55149,-46.65763,DEV0476,M010,0
T000185,U438,2026-05-22T18:05:45.525554,342.06,-19.94977,-43.86843,DEV0744,M094,0
T000186,U113,2026-05-22T15:46:26.899478,168.66,-23.48827,-46.72911,DEV0302,M065,0
T000187,U058,2026-05-22T18:04:34.261825,974.09,-19.9575,-43.8972,DEV0633,U279,0
T000188,U237,2026-05-22T14:07:19.509049,7.81,-30.01001,-51.1326,DEV0385,M076,0
T000189,U403,2026-05-22T15:09:23.234631,169.9,-15.70909,-47.95594,DEV0288,U084,0
T000190,U116,2026-05-22T14:50:12.198598,20.8,-29.99729,-51.29895,DEV0161,M091,0
T000191,U271,2026-05-22T17:37:41.059589,46.28,-13.00405,-38.44073,DEV0005,U291,0
T000192,U471,2026-05-22T13:38:01.629712,57759.89,-25.43676,-49.23999,DEV0349,M041,1
T000193,U326,2026-05-22T14:31:29.826399,2587.07,-13.00798,-38.55256,DEV0376,M003,0
T000194,U342,2026-05-22T16:30:35.053613,1112.69,-25.39443,-49.33074,DEV0015,U454,0
T000195,U314,2026-05-23T00:53:59.889557,46.75,-19.87412,-43.90552,DEV0724,M047,0
T000196,U039,2026-05-22T15:12:38.736528,100.18,-30.09318,-51.2106,DEV0574,M031,0
T000197,U032,2026-05-22T15:12:43.678199,19.76,-30.00618,-51.21243,DEV0065,M017,0
T000198,U436,2026-05-22T16:41:46.066868,40.28,-12.89856,-38.48581,DEV0149,U051,0
T000199,U489,2026-05-22T15:10:01.445024,107.58,-25.44212,-49.26228,DEV0710,M057,0
T000200,U251,2026-05-22T14:07:08.995144,17.58,-23.51841,-46.68899,DEV0624,M081,0
T000201,U076,2026-05-22T16:11:10.736865,39.87,-23.64452,-46.60864,DEV0201,M100,0
T000202,U128,2026-05-22T18:34:13.383125,1.23,-15.80006,-47.91421,DEV0471,U290,0
T000203,U189,2026-05-22T14:32:04.042429,200.61,-29.94049,-51.2172,DEV0144,M040,0
T000204,U193,2026-05-22T15:30:04.810936,349.49,-19.89627,-43.94965,DEV0658,U095,0
T000205,U151,2026-05-22T15:14:25.633979,29.92,-15.8192,-47.92906,DEV0220,M067,0
T000206,U083,2026-05-22T16:11:24.978881,13.85,-19.93692,-43.95563,DEV0473,M053,0
T000207,U283,2026-05-22T15:51:30.617625,217.06,-22.85635,-43.18217,DEV0028,M059,0
T000208,U050,2026-05-22T15:00:47.596072,509.12,-12.99301,-38.50957,DEV0036,M068,0
T000209,U084,2026-05-22T15:33:20.020476,55.77,-30.05259,-51.284,DEV0298,U249,0
T000210,U280,2026-05-22T18:59:10.766660,123.7,-23.61692,-46.62943,DEV0008,U326,0
T000211,U169,2026-05-22T16:39:25.902254,26.7,-20.00961,-43.98098,DEV0727,M003,0
T000212,U345,2026-05-22T17:09:28.705027,214.53,-23.45691,-46.60884,DEV0411,M055,0
T000213,U157,2026-05-22T20:04:48.608035,12.41,-22.81851,-43.20429,DEV0758,M099,0
T000214,U414,2026-05-22T17:38:16.735535,76.82,-22.85642,-43.27321,DEV0053,M096,0
T000215,U233,2026-05-22T16:15:16.747951,24.23,-30.04129,-51.26805,DEV0177,M059,0
T000216,U048,2026-05-22T14:33:43.655112,49.1,-23.5505,-46.6333,DEV0734,M065,1
T000217,U083,2026-05-22T22:31:38.125549,24.01,-19.93657,-43.91348,DEV0473,M048,0
T000218,U330,2026-05-22T15:53:12.671799,25.88,-23.53923,-46.65178,DEV0229,U413,0
T000219,U132,2026-05-22T14:41:08.397735,19.83,-22.90601,-43.17724,DEV0570,M041,0
T000220,U212,2026-05-22T14:05:08.251682,569.2,-25.47706,-49.36717,DEV0685,M033,0
T000221,U338,2026-05-22T20:34:07.862077,144.68,-23.56403,-46.58867,DEV0145,M063,0
T000222,U174,2026-05-22T15:52:32.692010,378.92,-23.50162,-46.67094,DEV0277,M006,0
T000223,U295,2026-05-22T14:22:19.923131,11.86,-12.95621,-38.46532,DEV0146,U342,0
T000224,U058,2026-05-22T18:39:50.072088,325.62,-19.99807,-44.03628,DEV0633,M037,0
T000225,U018,2026-05-22T17:10:44.127490,9.79,-23.56986,-46.63557,DEV0346,M007,0
T000226,U310,2026-05-22T13:31:12.087023,97.09,-19.86835,-43.98483,DEV0574,M001,0
T000227,U341,2026-05-22T13:36:44.615446,6.2,-30.00746,-51.26964,DEV0179,U109,0
T000228,U083,2026-05-22T22:46:40.663600,16.42,-19.97156,-43.97577,DEV0473,M023,0
T000229,U061,2026-05-22T23:24:29.530020,127.59,-23.5839,-46.58302,DEV0234,U353,0
T000230,U110,2026-05-22T15:40:16.124112,333.26,-25.43989,-49.31587,DEV0158,M035,0
T000231,U425,2026-05-22T20:12:30.045537,62216.44,-22.89806,-43.16467,DEV0356,U313,1
T000232,U165,2026-05-22T15:14:17.618563,637.57,-25.43951,-49.39377,DEV0577,M085,0
T000233,U134,2026-05-22T17:27:42.527132,25.41,-15.88317,-47.90165,DEV0444,M032,0
T000234,U462,2026-05-22T13:38:17.950401,64.37,-13.02005,-38.49093,DEV0519,M011,0
T000235,U247,2026-05-22T14:03:16.668905,38.43,-22.84686,-43.2124,DEV0250,M009,0
T000236,U446,2026-05-22T18:23:56.685430,128.97,-23.47601,-46.65919,DEV0641,M098,0
T000237,U246,2026-05-22T16:06:33.039538,1.63,-25.42174,-49.25823,DEV0095,M061,0
T000238,U128,2026-05-23T02:27:18.486758,11.2,-15.76551,-47.95045,DEV0471,M058,0
T000239,U309,2026-05-22T16:58:33.035924,37.02,-15.75916,-47.88601,DEV0606,M029,0
T000240,U416,2026-05-22T16:04:14.163782,289.28,-23.50473,-46.57963,DEV0714,U093,0
T000241,U336,2026-05-22T13:44:02.933165,9.69,-19.90399,-44.02494,DEV0637,M019,0
T000242,U429,2026-05-22T16:19:37.752077,5.31,-23.46262,-46.68698,DEV0287,M048,0
T000243,U136,2026-05-22T18:28:33.958961,12.53,-12.94659,-38.49919,DEV0103,M057,0
T000244,U082,2026-05-22T17:50:10.016748,461.52,-30.12843,-51.18671,DEV0338,M054,0
T000245,U040,2026-05-22T13:39:17.861946,432.55,-19.82922,-43.94864,DEV0684,M096,1
T000246,U256,2026-05-22T16:13:32.298325,1.51,-15.75016,-47.89578,DEV0335,M025,0
T000247,U201,2026-05-22T18:03:43.467793,348.19,-29.99704,-51.1865,DEV0327,M081,1
T000248,U029,2026-05-22T14:16:24.455285,138.27,-13.02886,-38.58189,DEV0338,M016,0
T000249,U387,2026-05-22T14:51:52.627276,24.2,-12.96454,-38.44329,DEV0305,U332,0
T000250,U269,2026-05-22T16:20:27.295455,270.63,-19.98007,-43.91684,DEV0093,M002,0
T000251,U204,2026-05-22T15:48:23.246600,73.44,-29.93073,-51.14664,DEV0091,M090,0
T000252,U318,2026-05-22T16:32:39.205585,6.71,-13.026,-38.45689,DEV0259,U222,0
T000253,U478,2026-05-22T15:06:26.409164,4.34,-13.02207,-38.46634,DEV0477,M022,0
T000254,U437,2026-05-22T17:59:12.235451,573.99,-19.95214,-43.9054,DEV0512,M084,0
T000255,U028,2026-05-22T14:07:08.710705,44.05,-25.45648,-49.35148,DEV0702,U080,0
T000256,U120,2026-05-22T18:21:05.294981,50.98,-30.10249,-51.23383,DEV0663,M029,0
T000257,U077,2026-05-22T18:11:11.805649,31.27,-15.75664,-48.00598,DEV0464,M048,0
T000258,U140,2026-05-22T14:17:12.717929,80.13,-23.53207,-46.61751,DEV0120,U164,0
T000259,U400,2026-05-22T15:09:14.500068,36.03,-12.9714,-38.5014,DEV0761,U460,1
T000260,U166,2026-05-22T14:41:49.854208,107.03,-22.95839,-43.11723,DEV0043,M058,0
T000261,U208,2026-05-22T17:44:36.816309,111.41,-13.00469,-38.50986,DEV0361,M019,0
T000262,U074,2026-05-22T14:11:38.143211,139.86,-12.91867,-38.49145,DEV0610,M098,0
T000263,U197,2026-05-22T16:12:03.962900,123.75,-23.56555,-46.77975,DEV0795,U170,0
T000264,U409,2026-05-22T22:44:24.956503,1110.21,-22.92868,-43.11996,DEV0514,U376,0
T000265,U277,2026-05-22T15:23:35.974226,2.27,-23.54161,-46.6306,DEV0214,M022,0
T000266,U064,2026-05-22T16:38:12.375139,82436.38,-23.61654,-46.52149,DEV0442,U435,1
T000267,U043,2026-05-22T15:25:16.736574,31.56,-12.94192,-38.48805,DEV0218,M090,0
T000268,U461,2026-05-22T19:54:22.156981,28.24,-22.93917,-43.16195,DEV0391,U364,0
T000269,U150,2026-05-22T16:07:17.554307,1.84,-19.90908,-43.93982,DEV0086,M055,0
T000270,U318,2026-05-22T18:22:38.706973,13.52,-12.91076,-38.52657,DEV0259,U073,0
T000271,U212,2026-05-22T14:35:22.429824,630.12,-25.34713,-49.20292,DEV0685,U374,0
T000272,U276,2026-05-22T14:11:59.380659,144.46,-23.46866,-46.68359,DEV0794,U414,0
T000273,U011,2026-05-22T17:27:41.748516,300.28,-22.9116,-43.23651,DEV0476,M088,0
T000274,U052,2026-05-22T15:58:00.182925,119.4,-25.44897,-49.2975,DEV0578,M093,0
T000275,U060,2026-05-22T17:23:01.576838,50.82,-19.98501,-43.98466,DEV0649,U283,0
T000276,U223,2026-05-22T16:29:43.158939,12.25,-22.86425,-43.09787,DEV0316,M064,0
T000277,U424,2026-05-22T14:38:10.735911,47.0,-15.78814,-47.87741,DEV0146,U491,0
